timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747424007122,6,HTTP Request,201,Created,Thread Group 1-70,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424007214,6,HTTP Request,201,Created,Thread Group 1-71,text,true,,381,243,1,1,http://localhost:3000/api/messages,6,0,1
1747424007311,6,HTTP Request,201,Created,Thread Group 1-72,text,true,,388,250,1,1,http://localhost:3000/api/messages,6,0,1
1747424007403,7,HTTP Request,201,Created,Thread Group 1-73,text,true,,370,233,1,1,http://localhost:3000/api/messages,7,0,1
1747424007493,6,HTTP Request,201,Created,Thread Group 1-74,text,true,,398,260,1,1,http://localhost:3000/api/messages,6,0,1
1747424007584,5,HTTP Request,201,Created,Thread Group 1-75,text,true,,390,252,1,1,http://localhost:3000/api/messages,5,0,0
1747424007678,6,HTTP Request,201,Created,Thread Group 1-76,text,true,,375,237,1,1,http://localhost:3000/api/messages,6,0,1
1747424007773,6,HTTP Request,201,Created,Thread Group 1-77,text,true,,389,251,1,1,http://localhost:3000/api/messages,6,0,1
1747424007864,5,HTTP Request,201,Created,Thread Group 1-78,text,true,,379,241,1,1,http://localhost:3000/api/messages,5,0,1
1747424007959,6,HTTP Request,201,Created,Thread Group 1-79,text,true,,371,234,1,1,http://localhost:3000/api/messages,6,0,1
1747424008051,6,HTTP Request,201,Created,Thread Group 1-80,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424008144,6,HTTP Request,201,Created,Thread Group 1-81,text,true,,401,263,1,1,http://localhost:3000/api/messages,6,0,1
1747424008234,6,HTTP Request,201,Created,Thread Group 1-82,text,true,,399,261,1,1,http://localhost:3000/api/messages,6,0,1
1747424008328,5,HTTP Request,201,Created,Thread Group 1-83,text,true,,370,233,1,1,http://localhost:3000/api/messages,5,0,1
1747424008419,5,HTTP Request,201,Created,Thread Group 1-84,text,true,,376,238,1,1,http://localhost:3000/api/messages,5,0,1
1747424008512,6,HTTP Request,201,Created,Thread Group 1-85,text,true,,390,252,1,1,http://localhost:3000/api/messages,6,0,1
1747424008605,6,HTTP Request,201,Created,Thread Group 1-86,text,true,,369,232,1,1,http://localhost:3000/api/messages,6,0,2
1747424008698,5,HTTP Request,201,Created,Thread Group 1-87,text,true,,378,240,1,1,http://localhost:3000/api/messages,5,0,1
1747424008794,6,HTTP Request,201,Created,Thread Group 1-88,text,true,,383,245,1,1,http://localhost:3000/api/messages,6,0,2
1747424008888,8,HTTP Request,201,Created,Thread Group 1-89,text,true,,384,246,1,1,http://localhost:3000/api/messages,8,0,1
1747424008981,6,HTTP Request,201,Created,Thread Group 1-90,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424009074,7,HTTP Request,201,Created,Thread Group 1-91,text,true,,373,235,1,1,http://localhost:3000/api/messages,7,0,1
1747424009164,7,HTTP Request,201,Created,Thread Group 1-92,text,true,,370,233,1,1,http://localhost:3000/api/messages,7,0,1
1747424009256,5,HTTP Request,201,Created,Thread Group 1-93,text,true,,384,246,1,1,http://localhost:3000/api/messages,5,0,1
1747424009348,5,HTTP Request,201,Created,Thread Group 1-94,text,true,,376,238,1,1,http://localhost:3000/api/messages,5,0,1
